property_id,property_name,property_types,floor_level,completion_year,facing
property_66,"4 Bed, 6 Bath Shophouse for Sale & Rent in Phsar Chas",Shophouse,5.0,2023,
property_67,"3 Bed, 3 Bath Condo for Sale in The Peninsula Private Residences",Condo,8.0,2022,S
property_68,"1 Bed, 1 Bath Studio for Sale & Rent in Boeung Kak 2",Studio,14.0,2022,
property_69,"8 Bed, 12 Bath Villa for Sale & Rent in Chak Angrae Kraom",Villa,3.0,2022,S
property_70,"1 Bed, 1 Bath Condo for Sale in Chroy Changvar",Condo,6.0,2022,
property_71,Land for Sale in Tuol Sangkae 1,Land/Development,,2022,
property_72,"1 Bed, 1 Bath Studio for Sale & Rent in BKK 1",Studio,16.0,2022,
property_73,"8 Bed, 8 Bath Villa for Sale & Rent in Boeung Kak 2",Villa,,2022,
property_74,"4 Bed, 5 Bath Villa for Sale in Preaek Lieb",Villa,3.0,2022,W
property_75,"4 Bed, 5 Bath Link House for Sale in Preaek Lieb",Unit,,2022,W
property_76,"4 Bed, 5 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Romance",Villa,3.0,2022,N
property_77,"4 Bed, 5 Bath Villa for Sale in Borey Peng Huoth: The Star Platinum Eco Delta",Villa,3.0,2022,N
property_78,"1 Bed, 1 Bath Studio for Sale in Wealth Mansion",Studio,17.0,2024,
property_79,"1 Bed, 1 Bath Studio for Sale in The Penthouse Residence",Studio,27.0,2020,
property_80,"1 Bed, 1 Bath Apartment for Sale in Tonle Bassac",Apartment,35.0,2020,
property_81,Land for Sale in Kep,Land/Development,,2020,
property_82,"1 Bed, 1 Bath Studio for Sale in Orkide The Royal Condominium",Studio,12.0,2021,
property_83,"5 Bed, 6 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Euro Ville",Twin Villa,,2021,S/W
property_84,"4 Bed, 5 Bath Twin Villa for Sale in Preaek Lieb",Twin Villa,,2021,N
property_85,"5 Bed, 8 Bath Villa for Sale in Preaek Lieb",Villa,3.0,2021,W/N
property_86,"6 Bed, 9 Bath Villa for Sale in Preaek Lieb",Villa,3.0,2021,N
property_87,"10 Bed, 13 Bath Shophouse for Sale in Preaek Lieb",Shophouse,5.0,2021,S
property_88,Land for Sale in Chak Angrae Kraom,Land/Development,,2021,
property_89,"1 Bed, 1 Bath Condo for Sale in Agile Sky Residence",Condo,38.0,2022,W
property_90,Shophouse for Sale & Rent in Chakto Mukh,Shophouse,,2022,
property_91,"2 Bed, 2 Bath Condo for Sale in Boeung Kak 2",Condo,8.0,2022,
property_92,"2 Bed, 2 Bath Condo for Sale in Boeung Kak 1",Condo,10.0,2022,
property_93,"3 Bed, 2 Bath Flat for Sale in Boeung Salang",Flat,,2022,
property_94,"2 Bed, 2 Bath Condo for Sale & Rent in Tonle Bassac",Condo,8.0,2022,
property_95,"5 Bed, 4 Bath Shophouse for Sale in Tumnob Tuek",Shophouse,2.0,2022,E
property_96,"2 Bed, 2 Bath Condo for Sale in Tuol Sangkae 2",Condo,7.0,2022,
property_97,"1 Bed, 1 Bath Condo for Sale in Tuol Sangkae 2",Condo,15.0,2022,
property_98,"1 Bed, 1 Bath Condo for Sale in Boeung Kak 1",Condo,6.0,2022,
property_99,Condo for Sale in Tonle Bassac,Condo,7.0,2022,
property_100,Condo for Sale in Prince Huan Yu Center,Condo,7.0,2023,
property_101,"5 Bed, 4 Bath Shophouse for Sale in Tumnob Tuek",Shophouse,,2023,E
property_102,"3 Bed, 4 Bath Link House for Sale in Borey Peng Huoth : The Star Platinum Mercurean II",Unit,,2023,S
property_103,"3 Bed, 4 Bath Link House for Sale in Borey Peng Huoth : The Star Platinum Mercurean II",Unit,3.0,2023,N
property_104,"7 Bed, 8 Bath Villa for Sale in Nirouth",Villa,3.0,2023,E
property_105,"2 Bed, 2 Bath Condo for Sale in Orkide The Royal Condominium",Condo,8.0,2021,
property_106,"3 Bed, 3 Bath Condo for Sale in Morgan EnMaison | Condo Type",Condo,32.0,2024,
property_107,"1 Bed, 1 Bath Condo for Sale in Tuol Sangkae 2",Condo,19.0,2024,
property_108,"2 Bed, 3 Bath Flat House for Sale in Chaom Chau 3",Retreat,,2024,
property_109,"2 Bed, 2 Bath Apartment for Sale in Tuol Sangkae 2",Apartment,5.0,2024,
property_110,"3 Bed, 3 Bath Villa for Sale in Kep",Villa,,2024,
property_111,"4 Bed, 5 Bath Twin Villa for Sale in Preaek Lieb",Twin Villa,,2024,N
property_112,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth : The Star Platinum Mercurean II",Twin Villa,,2024,E
property_113,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Rosato",Twin Villa,,2024,N/E
property_114,"4 Bed, 5 Bath Twin Villa for Sale in Borey Peng Huoth: The Star Platinum Rosato",Twin Villa,,2024,S
property_115,"3 Bed, 3 Bath Link House for Sale in Svay Chrum",Unit,3.0,2024,W
property_116,"3 Bed, 4 Bath Villa for Sale & Rent in Veal Sbov",Villa,2.0,2024,N
property_117,"2 Bed, 2 Bath Condo for Sale in L Residence Boeung Keng Kang III",Condo,8.0,2018,N
property_118,Land for Sale in Boeung Tumpun,Land/Development,,2018,
